video,label,category,duration_sec,l_elbow_mean,l_elbow_std,l_elbow_min,r_elbow_mean,r_elbow_std,r_elbow_min,l_shoulder_mean,r_shoulder_mean,head_angle_mean,hip_angle_mean,body_roll_mean,hip_roll_mean,elbow_symmetry_mean,shoulder_symmetry_mean,kick_frequency,kick_ratio,entry_angle_mean,streamline_width_mean
Backstroke - slowmotion.mp4,backstroke,competition_backstroke,12.833,153.98,43.22,2.13,158.42,28.16,22.23,77.39,90.25,63.59,165.61,0.0538,0.0311,25.05,39.99,1.091,0.1867,0.1387,0.0869
Backstroke start in super slow motion. Backcrawl olympic start.mp4,backstroke,competition_backstroke,49.716,125.29,38.9,4.48,120.13,43.44,4.04,77.93,84.6,38.84,127.55,0.0146,0.0098,24.66,15.42,0.201,0.0585,0.1147,0.0205
Backstroke swimming technique ｜ Rotation ｜ Swim faster.mp4,backstroke,competition_backstroke,112.333,122.05,48.68,3.02,122.33,45.59,1.46,79.72,81.43,70.32,132.52,0.104,0.0631,39.42,39.69,0.872,0.1617,0.1507,0.1177
Fix Your Backstroke (You're Swimming it WRONG).mp4,backstroke,competition_backstroke,244.833,126.57,51.15,0.65,129.23,46.02,1.98,53.82,53.41,66.47,137.7,0.0572,0.0348,33.78,28.35,0.69,0.1705,0.1218,0.1005
How to do a Backstroke Start ｜ Olympic Champion Stephanie Rice.mp4,backstroke,competition_backstroke,54.0,135.11,42.32,3.86,134.05,36.39,9.42,84.96,90.8,35.39,122.3,0.0503,0.0337,35.37,28.67,0.704,0.2123,0.1587,0.0583
How to master Backstroke Swimming ｜ Learn from an Olympic Medallist ｜ Olympians’ Tips.mp4,backstroke,competition_backstroke,171.2,112.3,57.28,0.43,112.27,55.78,0.92,40.54,49.51,103.18,139.99,0.0281,0.0165,38.59,18.71,0.532,0.1685,0.2234,0.1512
How to Swim Backstroke ｜ Expert tips from Olympic Champion Stephanie Rice..mp4,backstroke,competition_backstroke,382.8,126.22,50.46,1.06,118.67,51.48,2.41,65.26,72.81,49.08,137.24,0.0523,0.0328,43.7,41.99,0.669,0.1963,0.1047,0.0605
Mens 200m Backstroke Final HD.mp4,backstroke,competition_backstroke,110.2,152.47,31.26,5.88,127.83,49.59,1.44,44.5,37.36,66.0,121.26,0.0409,0.0225,40.47,18.22,0.309,0.1611,0.1625,0.145
Missy Franklin Slow Motion Start - W 200 Backstroke - ARENA Grand Prix Series at Santa Clara.mp4,backstroke,competition_backstroke,12.667,139.05,51.87,24.38,115.14,43.46,44.27,59.47,63.25,86.35,155.17,0.007,0.0083,62.79,15.02,0.079,0.1429,0.1108,0.0351
New World Record ｜ Men's 100m Backstroke ｜ 19th FINA World Championships.mp4,backstroke,competition_backstroke,56.2,91.49,60.51,3.27,99.25,67.12,0.77,52.17,51.38,74.63,144.31,0.0262,0.0139,39.82,20.99,0.231,0.1757,0.3244,0.0923
Nolan Wins 25 YD Backstroke Slow Motion.mp4,backstroke,competition_backstroke,51.167,106.57,64.89,0.87,115.39,59.21,2.05,16.84,17.26,78.23,153.83,0.0546,0.0326,28.93,9.52,1.094,0.2029,0.1908,0.1115
Rio 2016 4 x 100 Freestyle Relay - Underwater Camera.mp4,backstroke,competition_backstroke,222.556,120.68,53.46,2.09,122.27,51.09,2.7,75.14,77.31,67.54,159.79,0.0359,0.0193,39.25,30.51,0.723,0.2051,0.1664,0.0632
Rio Replay： Men's 200m Backstroke Final.mp4,backstroke,competition_backstroke,336.6,113.98,58.15,0.41,118.91,56.29,0.53,40.88,39.36,86.0,142.37,0.0368,0.0232,34.46,16.09,0.407,0.156,0.2427,0.1797
Ryan Murphy 100 back High speed camera   slo motion 1080i youtube 2.mp4,backstroke,competition_backstroke,191.024,131.84,42.39,4.12,150.31,40.07,2.15,26.92,24.65,123.97,156.0,0.0145,0.0086,29.68,9.14,0.236,0.0759,0.0537,0.0473
라이언 머피 배영 (반복) ｜ 2016 리우 올림픽.mp4,backstroke,competition_backstroke,96.608,130.55,42.05,5.07,133.98,39.84,11.88,49.28,49.76,61.29,155.59,0.0311,0.0176,37.37,23.16,0.352,0.191,0.0906,0.0365
50 breaststroke slow motion.mp4,breaststroke,competition_breaststroke,108.833,119.09,56.42,5.84,127.16,54.88,3.05,58.35,51.45,104.54,147.54,0.0069,0.0036,30.24,24.16,0.119,0.0242,0.0248,0.0551
Adam Peaty ｜ 100m Breaststroke ｜ Tokyo Olympics 2020 ｜ Underwater Slo Mo Technique.mp4,breaststroke,competition_breaststroke,17.851,107.7,49.74,14.84,64.02,54.9,3.03,56.68,40.51,40.35,168.92,0.0342,0.023,69.09,37.53,0.0,0.0,0.0429,0.0126
Breaststroke Swimming Technique ｜ Stroke.mp4,breaststroke,competition_breaststroke,71.2,114.87,49.12,6.08,117.25,52.06,5.23,68.37,75.36,62.05,118.83,0.0347,0.0176,35.52,22.0,0.534,0.2099,0.1911,0.1008
Breaststroke Swimming ：： The 5 most important things.mp4,breaststroke,competition_breaststroke,294.127,118.73,51.93,0.35,128.34,48.79,0.8,70.43,74.61,48.73,149.0,0.0336,0.0216,30.81,16.76,0.422,0.0747,0.1431,0.1028
Caspar Corbeau Shatters 200m Breaststroke WR Under 2 Minutes! 😱 ｜ SWC 2025.mp4,breaststroke,competition_breaststroke,139.2,115.8,51.52,1.66,118.89,56.02,1.82,58.8,62.31,60.64,124.82,0.0271,0.0139,37.1,25.7,0.359,0.1992,0.1297,0.046
How To Swim Breaststroke PERFECTLY..mp4,breaststroke,competition_breaststroke,278.833,131.2,49.79,0.3,129.21,51.5,1.7,60.58,59.03,69.05,138.96,0.0343,0.023,30.14,19.38,0.441,0.1561,0.1347,0.1162
How to Swim Breaststroke ｜ Expert tips from Olympic Champion Stephanie Rice..mp4,breaststroke,competition_breaststroke,331.8,119.82,52.06,1.64,124.9,48.33,2.13,91.33,83.41,47.58,127.19,0.0325,0.0185,35.78,26.8,0.383,0.1916,0.1244,0.0515
Improve your Breaststroke Technique feat. Breeja Larson ｜ Olympians' Tips.mp4,breaststroke,competition_breaststroke,232.8,107.22,58.79,0.71,117.12,57.01,0.25,45.47,45.3,105.28,142.71,0.0287,0.0173,33.08,15.77,0.365,0.1654,0.1866,0.1676
Junior World Swimming Championships 2025： 200m Breaststroke Final (Shin vs Nowacki) Full Race.mp4,breaststroke,competition_breaststroke,182.667,139.76,44.44,3.76,136.13,43.24,6.47,36.84,34.27,85.48,142.35,0.0131,0.0082,28.99,15.11,0.361,0.1838,0.041,0.0316
Mens 100 breaststroke highspeed camera   slow motion.mp4,breaststroke,competition_breaststroke,218.385,118.01,54.68,0.93,117.64,53.02,1.94,55.07,56.0,82.88,109.66,0.0351,0.0226,36.5,27.52,0.659,0.1739,0.0989,0.0532
New Way to Swim Breaststroke.mp4,breaststroke,competition_breaststroke,326.368,132.56,45.83,1.54,128.18,46.53,0.88,81.58,79.96,58.81,136.65,0.0316,0.0219,30.81,25.53,0.616,0.1751,0.1044,0.1037
Peaty wins gold with new world record - Full Race.mp4,breaststroke,competition_breaststroke,88.0,132.04,55.87,3.7,102.49,65.71,1.68,33.39,32.93,75.63,153.27,0.0467,0.0191,47.66,17.79,0.364,0.1749,0.1629,0.2169
Slow Motion Breaststroke.mp4,breaststroke,competition_breaststroke,184.685,122.8,52.37,0.86,116.98,45.23,2.3,58.02,51.97,51.29,140.49,0.0521,0.0337,33.95,26.56,0.271,0.1389,0.1477,0.0652
평영 잘하는 법(feat 스테파니 라이스).mp4,breaststroke,competition_breaststroke,185.833,119.17,52.7,2.44,124.5,49.74,0.67,86.68,80.33,53.29,122.47,0.0338,0.0189,33.52,23.25,0.371,0.2277,0.1179,0.0498
"Butterfly - underwater, 접영 100미터 물속영상.mp4",butterfly,competition_butterfly,55.055,121.82,52.4,4.11,125.58,49.94,7.44,95.14,83.16,46.91,131.21,0.0296,0.0189,39.11,30.55,0.581,0.2038,0.1623,0.0312
Butterfly Slow Motion; 2 views.mp4,butterfly,competition_butterfly,130.13,142.62,35.36,6.04,136.13,47.55,4.77,79.64,89.09,22.4,151.96,0.0208,0.0165,27.84,24.25,0.246,0.0641,0.0441,0.0442
Butterfly Swim with MINIMAL Strength.mp4,butterfly,competition_butterfly,318.151,140.79,39.56,1.05,144.04,38.31,3.63,89.6,87.97,49.08,134.6,0.0639,0.0368,22.53,17.93,0.66,0.1292,0.1544,0.0727
Butterfly Swimming Technique ｜ Stroke.mp4,butterfly,competition_butterfly,85.6,133.0,40.25,16.82,124.14,48.53,7.01,77.39,73.17,63.58,121.22,0.0392,0.0224,30.0,26.59,0.327,0.1637,0.0874,0.0561
Butterfly Swimming Technique.  Timing.  How to swim butterfly.mp4,butterfly,competition_butterfly,151.193,121.68,53.26,0.49,121.23,52.28,0.54,100.61,100.53,60.3,115.18,0.0447,0.0282,28.03,21.7,0.489,0.1341,0.1848,0.0799
How To Swim Butterfly PERFECTLY..mp4,butterfly,competition_butterfly,249.0,137.46,49.33,0.59,138.86,45.29,1.57,80.01,81.26,64.42,140.05,0.0316,0.0197,28.25,19.53,0.414,0.1486,0.1711,0.128
Kristof Milak 200m Butterfly Olympic Record ｜ Underwater Technique ｜ Slo Motion - 90% Slo.mp4,butterfly,competition_butterfly,46.38,119.86,53.43,3.39,126.54,49.12,3.39,70.35,55.09,73.59,162.94,0.0364,0.02,42.24,33.16,0.172,0.0769,0.0913,0.033
Men's 100m Butterfly Final ｜ Paris Champions.mp4,butterfly,competition_butterfly,136.833,126.47,51.21,0.99,122.64,55.18,0.2,58.8,54.89,83.79,150.98,0.0285,0.0187,30.68,18.71,0.577,0.1965,0.2744,0.1418
Michael Phelps wins 15th Gold - Men's 100m Butterfly ｜ London 2012 Olympic Games.mp4,butterfly,competition_butterfly,338.2,119.01,61.3,0.5,115.88,59.39,0.37,44.78,45.19,85.68,150.37,0.0326,0.017,35.34,19.15,0.506,0.1579,0.2779,0.1449
Phelps reclaims 200m Butterfly gold.mp4,butterfly,competition_butterfly,92.0,116.58,57.74,1.19,95.03,60.18,1.44,43.63,53.04,80.97,134.33,0.0351,0.0201,47.85,24.3,0.402,0.1927,0.165,0.1453
Rio 2016 100m Butterfly Final- Underwater Camera.mp4,butterfly,competition_butterfly,64.064,113.17,57.85,0.96,118.75,60.8,0.2,96.45,90.21,58.62,136.24,0.0334,0.0203,35.54,25.35,0.749,0.233,0.3176,0.1185
Slow Motion Butterfly.mp4,butterfly,competition_butterfly,56.515,139.55,39.28,6.89,142.38,38.45,3.94,114.01,111.48,38.24,140.81,0.0314,0.0191,31.24,24.48,0.655,0.1737,0.0612,0.0454
Swimming Slow Butterfly by Maria Krivileva.mp4,butterfly,competition_butterfly,128.5,127.3,49.33,2.42,125.75,52.06,1.42,90.51,93.88,64.84,121.21,0.0453,0.0294,32.62,29.34,0.576,0.1814,0.1951,0.0698
Unbelievable 100m Butterfly Showdown ｜ Men’s Swimming ｜ FINA 2019.mp4,butterfly,competition_butterfly,57.2,117.41,54.14,4.83,108.6,59.32,4.86,76.28,70.77,63.8,110.46,0.0364,0.021,40.16,27.77,0.262,0.1515,0.0768,0.0221
Women's 100m Butterfly Final 🏊‍♀️ ｜ Paris Champions.mp4,butterfly,competition_butterfly,134.833,112.09,59.23,0.77,116.87,53.94,2.62,47.97,50.62,81.15,146.04,0.0394,0.0251,33.92,17.51,0.69,0.1933,0.2144,0.1075
100m Butterfly Men world record Analysis.mp4,freestyle,competition_freestyle,62.4,105.06,61.76,0.87,110.54,58.31,2.49,87.68,85.03,90.31,139.32,0.0361,0.0259,29.77,21.84,0.192,0.1519,0.4845,0.1652
Adam Peaty ｜ 100m Breaststroke ｜ Tokyo Olympics 2020 ｜ Underwater Slo Mo Technique.mp4,freestyle,competition_freestyle,17.851,107.7,49.74,14.84,64.02,54.9,3.03,56.68,40.51,40.35,168.92,0.0342,0.023,69.09,37.53,0.0,0.0,0.0429,0.0126
Andrii Khloptsov 50 Free  22.81sec Stroke Analysis.mp4,freestyle,competition_freestyle,26.333,141.52,33.1,9.95,141.67,38.22,20.11,95.18,94.63,13.0,167.86,0.0173,0.0115,22.44,20.03,1.139,0.2381,0.0671,0.0246
Caeleb Dressel 47.78 100M Butterfly World Record ｜ Full Race & Analysis.mp4,freestyle,competition_freestyle,570.153,125.55,35.3,1.08,71.79,49.37,0.74,13.8,15.62,93.5,172.06,0.0079,0.0059,59.89,4.19,0.567,0.1231,0.0656,0.0754
CAELEB DRESSEL Analysis 100 METER FLY WINS GOLD SETS RECORD ｜ TOKYO 2020 OLYMPICS.mp4,freestyle,competition_freestyle,267.917,96.91,61.83,0.76,101.62,54.99,1.29,49.97,55.89,78.39,128.77,0.0504,0.0326,45.58,25.92,0.239,0.1373,0.1981,0.0767
CAELEB DRESSEL Analysis 100 METER FREESTYLE  WINS GOLD SETS RECORD ｜ TOKYO 2020 OLYMPICS.mp4,freestyle,competition_freestyle,270.833,131.81,44.66,2.37,137.42,35.68,1.15,100.71,109.91,85.6,109.04,0.0471,0.0339,29.98,25.67,0.65,0.2144,0.2029,0.1507
Cameron McEvoy 20.88 WORLD RECORD ｜ Full Race (50m Freestyle).mp4,freestyle,competition_freestyle,27.755,121.89,52.34,10.13,117.68,44.11,3.23,58.79,43.15,78.55,103.94,0.0411,0.0223,33.52,22.64,0.432,0.1319,0.0651,0.0256
Her swimming strategy should be imposible!.mp4,freestyle,competition_freestyle,305.639,123.23,58.14,0.79,125.32,56.03,0.48,53.65,49.5,81.45,154.86,0.0362,0.0209,39.45,20.59,0.625,0.19,0.234,0.2009
How Pan Zhanle BROKE the 100 Freestyle World Record ｜ Stroke Analysis.mp4,freestyle,competition_freestyle,539.497,141.52,51.87,0.5,129.69,57.41,0.2,33.62,36.07,99.57,158.59,0.0289,0.015,29.89,15.73,0.426,0.1204,0.2371,0.3436
Is This The Easiest 1_10⧸100m Freestyle Ever？.mp4,freestyle,competition_freestyle,80.5,141.79,38.8,12.21,146.76,35.94,3.86,106.28,118.26,55.2,145.27,0.0659,0.0358,31.39,49.85,0.832,0.1806,0.0697,0.0743
Michael Phelps Freestyle Stroke Analysis.mp4,freestyle,competition_freestyle,562.228,133.67,34.73,1.84,84.37,45.3,0.34,13.26,20.88,99.72,159.64,0.0087,0.0123,55.72,9.61,0.631,0.1333,0.0789,0.0854
Rio 2016 100m Butterfly Final- Underwater Camera.mp4,freestyle,competition_freestyle,64.064,113.17,57.85,0.96,118.75,60.8,0.2,96.45,90.21,58.62,136.24,0.0334,0.0203,35.54,25.35,0.749,0.233,0.3176,0.1185
Rio 2016 4 x 100 Freestyle Relay - Underwater Camera.mp4,freestyle,competition_freestyle,222.556,120.68,53.46,2.09,122.27,51.09,2.7,75.14,77.31,67.54,159.79,0.0359,0.0193,39.25,30.51,0.723,0.2051,0.1664,0.0632
The SECRET Behind The FASTEST 100m Freestyle of All Time： Pan Zhanle.mp4,freestyle,competition_freestyle,399.0,102.15,34.39,2.28,65.3,56.35,0.64,17.26,20.05,109.88,168.39,0.0131,0.0125,54.3,7.05,0.268,0.0465,0.0987,0.1157
The Smoothest 59 Second 100m Freestyle Ever？.mp4,freestyle,competition_freestyle,64.5,137.42,39.34,14.14,138.18,40.89,2.09,89.47,92.73,27.9,164.41,0.0226,0.0133,29.9,21.8,0.248,0.1368,0.0669,0.0304
A New World Record! ｜ Men's 100m Freestyle ｜ #Paris2024 Highlights.mp4,medley,competition_medley,60.0,115.41,58.16,2.64,110.05,56.07,2.8,87.15,79.66,69.55,108.71,0.0301,0.0201,39.57,28.81,0.267,0.1951,0.1575,0.042
Individual Medley - Stroke and Turn Judging.mp4,medley,competition_medley,257.34,137.54,50.21,1.74,144.43,43.1,3.28,33.53,33.12,76.05,147.39,0.0431,0.0216,20.76,13.42,0.128,0.1941,0.1532,0.092
Men's 200m Individual Medley ｜ Rio 2016 Replay.mp4,medley,competition_medley,369.0,106.38,62.32,0.39,110.05,59.99,1.47,39.34,40.24,68.48,152.08,0.0423,0.0228,32.92,18.02,0.537,0.1722,0.3179,0.1354
Michael Phelps breaks 200m Freestyle World Record ｜ Beijing 2008 Olympic Games.mp4,medley,competition_medley,132.4,118.39,64.03,1.26,111.89,62.01,1.37,43.24,42.91,87.88,154.58,0.0316,0.0162,31.09,22.34,0.363,0.1455,0.2242,0.1609
Nathan Adrian Slow Motion Finish - M 50 Free - ARENA Grand Prix Series at Santa Clara.mp4,medley,competition_medley,19.333,91.73,54.82,2.12,89.09,62.59,2.49,19.05,20.93,78.1,170.47,0.0163,0.008,29.31,14.96,0.0,0.0,0.0756,0.0321
OLYMPIC RECORD FOR MOLLIE! ｜ Women's 200m Freestyle ｜ #Paris2024 Highlights.mp4,medley,competition_medley,184.8,113.21,52.9,1.83,115.18,54.7,3.0,69.71,68.9,71.9,132.97,0.0403,0.0231,37.55,25.87,0.395,0.2141,0.1922,0.0983
Peaty wins gold with new world record - Full Race.mp4,medley,competition_medley,88.0,132.04,55.87,3.7,102.49,65.71,1.68,33.39,32.93,75.63,153.27,0.0467,0.0191,47.66,17.79,0.364,0.1749,0.1629,0.2169
Phelps reclaims 200m Butterfly gold.mp4,medley,competition_medley,92.0,116.58,57.74,1.19,95.03,60.18,1.44,43.63,53.04,80.97,134.33,0.0351,0.0201,47.85,24.3,0.402,0.1927,0.165,0.1453
Rio 2016 100m Butterfly Final- Underwater Camera.mp4,medley,competition_medley,64.064,113.17,57.85,0.96,118.75,60.8,0.2,96.45,90.21,58.62,136.24,0.0334,0.0203,35.54,25.35,0.749,0.233,0.3176,0.1185
Rio 2016 4 x 100 Freestyle Relay - Underwater Camera.mp4,medley,competition_medley,222.556,120.68,53.46,2.09,122.27,51.09,2.7,75.14,77.31,67.54,159.79,0.0359,0.0193,39.25,30.51,0.723,0.2051,0.1664,0.0632
Ryan Lochte Slow Motion Start - Men's 200 IM - 2013 ARENA Grand Prix Series at Santa Clara.mp4,medley,competition_medley,10.667,123.76,43.89,34.94,106.61,58.59,11.3,15.85,24.18,102.96,123.7,0.0059,0.0037,33.1,14.28,0.375,0.1538,0.0307,0.036
Summer McIntosh breaks own world record in 400m IM at Canadian swim trials ｜ CBC Sports.mp4,medley,competition_medley,590.423,100.52,60.66,0.2,104.61,56.85,0.38,35.64,36.24,70.37,146.96,0.04,0.0246,46.63,18.98,0.586,0.1808,0.2088,0.1229
Swimming - Men's 200M Freestyle Final - Beijing 2008 Summer Olympic Games.mp4,medley,competition_medley,132.4,117.43,64.17,0.24,111.27,63.54,0.61,49.18,42.68,91.53,154.4,0.0294,0.0156,29.86,24.08,0.415,0.1637,0.2273,0.1438
Women's 100m Butterfly Final 🏊‍♀️ ｜ Paris Champions.mp4,medley,competition_medley,134.833,112.09,59.23,0.77,116.87,53.94,2.62,47.97,50.62,81.15,146.04,0.0394,0.0251,33.92,17.51,0.69,0.1933,0.2144,0.1075
Women's 100m freestyle Final 🏊‍♀️ ｜ Paris Champions.mp4,medley,competition_medley,138.833,127.18,50.59,0.6,121.74,52.48,0.56,60.92,58.03,80.13,143.6,0.0275,0.0195,33.88,16.46,0.641,0.1787,0.2731,0.1382
